t_ms,shot,lat_deg,lon_deg,agl_m,alt_m,level_db,trend_db,contrast_db,freq_hz,alarm,clip
8181794,1,48.8102086,7.8522467,30.23,170.19,57.62,0.00,6.00,2700,1,0
8181833,2,48.8102086,7.8522364,30.13,170.08,58.07,0.00,6.00,2700,1,0
8181834,3,48.8102222,7.8522262,30.08,170.03,58.19,0.00,6.00,2700,1,0
8181836,4,48.8102222,7.8522151,29.97,169.92,60.13,0.00,6.00,2700,1,0
8181875,5,48.8102359,7.8522151,29.86,169.81,58.35,0.00,6.00,2700,1,0
8181876,6,48.8102359,7.8522048,29.80,169.76,59.93,0.00,6.00,2700,1,0
8181915,7,48.8102359,7.8522048,29.70,169.65,59.62,0.00,6.00,2700,1,0
8181954,8,48.8102496,7.8521937,29.59,169.54,60.41,0.00,6.00,2700,1,0
8181955,9,48.8102496,7.8521835,29.53,169.49,60.71,0.00,6.00,2700,1,0
8181993,10,48.8102632,7.8521835,29.42,169.37,60.19,0.00,6.00,2700,1,0
8181995,11,48.8102632,7.8521724,29.31,169.26,61.15,0.00,6.00,2700,1,0
8182033,12,48.8102632,7.8521622,29.25,169.20,60.81,0.00,6.00,2700,1,0
8182035,13,48.8102769,7.8521613,29.14,169.09,61.33,0.00,6.00,2700,1,0
8182074,14,48.8102905,7.8521511,29.02,168.97,58.93,0.00,6.00,2700,1,0
8182075,15,48.8102905,7.8521511,28.96,168.92,60.59,0.00,6.00,2700,1,0
8182114,16,48.8102905,7.8521408,28.85,168.80,61.30,0.00,6.00,2700,1,0
8182116,17,48.8103042,7.8521297,28.73,168.69,60.51,0.00,6.00,2700,1,0
8182154,18,48.8103042,7.8521297,28.68,168.63,61.04,0.00,6.00,2700,1,0
8182156,19,48.8103179,7.8521186,28.56,168.51,60.54,0.00,6.00,2700,1,0
8182195,20,48.8103179,7.8521084,28.45,168.40,60.54,0.00,6.00,2700,1,0
8182196,21,48.8103315,7.8521084,28.39,168.35,62.39,0.00,6.00,2700,1,0
8182235,22,48.8103315,7.8520981,28.28,168.23,60.61,0.00,6.00,2700,1,0
8182237,23,48.8103452,7.8520973,28.17,168.12,62.64,0.00,6.00,2700,1,0
8182275,24,48.8103452,7.8520870,28.11,168.06,60.72,0.00,6.00,2700,1,0
8182277,25,48.8103452,7.8520870,28.00,167.96,61.96,0.00,6.00,2700,1,0
8182316,26,48.8103588,7.8520759,27.89,167.84,60.50,0.00,6.00,2700,1,0
8182317,27,48.8103588,7.8520759,27.84,167.79,60.06,0.00,6.00,2700,1,0
8182356,28,48.8103725,7.8520657,27.73,167.68,62.64,0.00,6.00,2700,1,0
8182395,29,48.8103725,7.8520554,27.62,167.57,60.81,0.00,6.00,2700,1,0
8182396,30,48.8103862,7.8520554,27.56,167.52,61.74,0.00,6.00,2700,1,0
8182434,31,48.8103862,7.8520443,27.46,167.41,61.19,0.00,6.00,2700,1,0
8182437,32,48.8103998,7.8520443,27.35,167.30,61.28,0.00,6.00,2700,1,0
8182438,33,48.8103998,7.8520332,27.29,167.25,61.28,0.00,6.00,2700,1,0
8182476,34,48.8104135,7.8520332,27.18,167.14,63.36,0.00,6.00,2700,1,0
8182515,35,48.8104135,7.8520221,27.08,167.03,62.88,0.00,6.00,2700,1,0
8182516,36,48.8104271,7.8520221,27.02,166.98,62.17,0.00,6.00,2700,1,0
8182555,37,48.8104271,7.8520119,26.92,166.87,63.35,0.00,6.00,2700,1,0
8182557,38,48.8104408,7.8520119,26.81,166.76,63.07,0.00,6.00,2700,1,0
8182595,39,48.8104408,7.8520016,26.76,166.71,64.03,0.00,6.00,2700,1,0
8182595,40,48.8104545,7.8520008,26.65,166.60,63.65,0.00,6.00,2700,1,0
8182635,41,48.8104545,7.8519905,26.55,166.50,63.70,0.00,6.00,2700,1,0
8182635,42,48.8104681,7.8519897,26.49,166.44,63.44,0.00,6.00,2700,1,0
8182675,43,48.8104681,7.8519794,26.39,166.34,63.39,0.00,6.00,2700,1,0
8182676,44,48.8104818,7.8519786,26.28,166.24,64.02,0.00,6.00,2700,1,0
8182715,45,48.8104818,7.8519786,26.23,166.18,61.89,0.00,6.00,2700,1,0
8182716,46,48.8104954,7.8519683,26.12,166.08,63.35,0.00,6.00,2700,1,0
8182756,47,48.8104954,7.8519683,26.02,165.97,62.55,0.00,6.00,2700,1,0
8182756,48,48.8105091,7.8519572,25.97,165.92,64.51,0.00,6.00,2700,1,0
8182796,49,48.8105091,7.8519572,25.86,165.82,65.10,0.00,6.00,2700,1,0
8182796,50,48.8105228,7.8519470,25.76,165.71,62.66,0.00,6.00,2700,1,0
8182835,51,48.8105228,7.8519470,25.71,165.66,62.52,0.00,6.00,2700,1,0
8182836,52,48.8105364,7.8519461,25.61,165.56,63.73,0.00,6.00,2700,1,0
8182876,53,48.8105364,7.8519410,25.50,165.45,63.71,0.00,6.00,2700,1,0
8182876,54,48.8105501,7.8519410,25.45,165.40,64.08,0.00,6.00,2700,1,0
8182916,55,48.8105501,7.8519308,25.34,165.29,65.47,0.00,6.00,2700,1,0
8182955,56,48.8105637,7.8519299,25.24,165.19,64.09,0.00,6.00,2700,1,0
8182956,57,48.8105637,7.8519299,25.19,165.14,63.11,0.00,6.00,2700,1,0
8182996,58,48.8105774,7.8519197,25.08,165.03,63.15,0.00,6.00,2700,1,0
8182996,59,48.8105774,7.8519197,24.98,164.93,63.55,0.00,6.00,2700,1,0
