t_ms,shot,lat_deg,lon_deg,agl_m,alt_m,level_db,trend_db,contrast_db,freq_hz,alarm,clip
18135900,1,48.8105364,7.8521553,11.11,151.06,62.63,0.00,6.00,2700,1,0
18135939,2,48.8105364,7.8521553,11.06,151.01,63.00,0.00,6.00,2700,1,0
18135940,3,48.8105364,7.8521553,11.04,150.99,62.94,0.00,6.00,2700,1,0
18135979,4,48.8105637,7.8521451,11.01,150.96,64.73,0.00,6.00,2700,1,0
18135981,5,48.8105637,7.8521451,11.00,150.95,62.84,0.00,6.00,2700,1,0
18136019,6,48.8105637,7.8521340,10.99,150.94,64.52,0.00,6.00,2700,1,0
18136020,7,48.8105637,7.8521340,10.99,150.95,64.20,0.00,6.00,2700,1,0
18136058,8,48.8105637,7.8521340,11.00,150.95,64.79,0.00,6.00,2700,1,0
18136061,9,48.8105911,7.8521237,11.00,150.95,64.87,0.00,6.00,2700,1,0
18136098,10,48.8105911,7.8521237,11.00,150.95,64.25,0.00,6.00,2700,1,0
18136100,11,48.8105911,7.8521237,11.00,150.95,65.11,0.00,6.00,2700,1,0
18136101,12,48.8105911,7.8521126,10.99,150.94,64.84,0.00,6.00,2700,1,0
18136139,13,48.8105911,7.8521126,10.97,150.92,65.25,0.00,6.00,2700,1,0
18136140,14,48.8105911,7.8521126,10.95,150.91,62.65,0.00,6.00,2700,1,0
18136178,15,48.8105911,7.8521024,10.93,150.89,64.46,0.00,6.00,2700,1,0
18136179,16,48.8106184,7.8521015,10.91,150.87,64.74,0.00,6.00,2700,1,0
18136181,17,48.8106184,7.8520913,10.86,150.81,63.88,0.00,6.00,2700,1,0
18136219,18,48.8106184,7.8520913,10.82,150.78,64.41,0.00,6.00,2700,1,0
18136220,19,48.8106184,7.8520913,10.79,150.74,63.70,0.00,6.00,2700,1,0
18136221,20,48.8106184,7.8520913,10.74,150.70,63.60,0.00,6.00,2700,1,0
18136259,21,48.8106184,7.8520802,10.65,150.60,65.51,0.00,6.00,2700,1,0
18136259,22,48.8106184,7.8520802,10.60,150.55,63.63,0.00,6.00,2700,1,0
18136299,23,48.8106184,7.8520802,10.54,150.50,65.54,0.00,6.00,2700,1,0
18136299,24,48.8106320,7.8520699,10.48,150.44,63.47,0.00,6.00,2700,1,0
18136339,25,48.8106320,7.8520699,10.36,150.31,64.70,0.00,6.00,2700,1,0
18136339,26,48.8106320,7.8520588,10.29,150.24,63.19,0.00,6.00,2700,1,0
18136339,27,48.8106320,7.8520588,10.22,150.18,62.74,0.00,6.00,2700,1,0
18136379,28,48.8106594,7.8520588,10.15,150.10,64.67,0.00,6.00,2700,1,0
18136379,29,48.8106594,7.8520486,10.00,149.95,62.86,0.00,6.00,2700,1,0
18136379,30,48.8106594,7.8520486,9.93,149.88,63.71,0.00,6.00,2700,1,0
18136419,31,48.8106594,7.8520486,9.84,149.80,63.03,0.00,6.00,2700,1,0
18136419,32,48.8106594,7.8520375,9.77,149.72,63.17,0.00,6.00,2700,1,0
18136459,33,48.8106594,7.8520375,9.60,149.55,63.06,0.00,6.00,2700,1,0
18136459,34,48.8106594,7.8520273,9.52,149.47,65.18,0.00,6.00,2700,1,0
18136460,35,48.8106594,7.8520273,9.43,149.39,64.57,0.00,6.00,2700,1,0
18136499,36,48.8106730,7.8520264,9.35,149.30,63.55,0.00,6.00,2700,1,0
18136500,37,48.8106730,7.8520162,9.18,149.13,64.74,0.00,6.00,2700,1,0
18136539,38,48.8106730,7.8520162,9.09,149.05,64.38,0.00,6.00,2700,1,0
18136539,39,48.8106730,7.8520162,9.01,148.96,65.23,0.00,6.00,2700,1,0
18136540,40,48.8107003,7.8520059,8.92,148.87,64.36,0.00,6.00,2700,1,0
18136580,41,48.8107003,7.8520059,8.75,148.70,64.28,0.00,6.00,2700,1,0
18136580,42,48.8107003,7.8519957,8.66,148.62,64.08,0.00,6.00,2700,1,0
18136580,43,48.8107003,7.8519957,8.58,148.53,63.90,0.00,6.00,2700,1,0
18136620,44,48.8107140,7.8519948,8.49,148.44,64.20,0.00,6.00,2700,1,0
18136620,45,48.8107140,7.8519846,8.32,148.27,62.18,0.00,6.00,2700,1,0
18136660,46,48.8107140,7.8519846,8.24,148.19,63.49,0.00,6.00,2700,1,0
18136660,47,48.8107277,7.8519735,8.15,148.10,62.50,0.00,6.00,2700,1,0
18136660,48,48.8107277,7.8519735,8.07,148.02,64.31,0.00,6.00,2700,1,0
18136700,49,48.8107277,7.8519632,7.90,147.85,64.99,0.00,6.00,2700,1,0
18136700,50,48.8107413,7.8519632,7.82,147.77,62.14,0.00,6.00,2700,1,0
18142680,51,48.8106594,7.8519649,15.73,155.68,63.03,0.00,6.00,2700,1,0
18142720,52,48.8106457,7.8519649,15.71,155.66,64.52,0.00,6.00,2700,1,0
18142720,53,48.8106457,7.8519649,15.66,155.61,64.42,0.00,6.00,2700,1,0
18142720,54,48.8106457,7.8519649,15.59,155.54,64.83,0.00,6.00,2700,1,0
18142761,55,48.8106457,7.8519547,15.38,155.34,66.23,0.00,6.00,2700,1,0
18142762,56,48.8106457,7.8519547,15.24,155.20,64.90,0.00,6.00,2700,1,0
18142800,57,48.8106457,7.8519547,15.08,155.03,63.94,0.00,6.00,2700,1,0
18142801,58,48.8106457,7.8519444,14.89,154.85,64.05,0.00,6.00,2700,1,0
18142840,59,48.8106320,7.8519444,14.47,154.42,64.77,0.00,6.00,2700,1,0
18142840,60,48.8106320,7.8519444,14.23,154.18,64.44,0.00,6.00,2700,1,0
