t_ms,shot,lat_deg,lon_deg,agl_m,alt_m,level_db,trend_db,contrast_db,freq_hz,alarm,clip
17771956,1,48.8104954,7.8516704,12.79,152.74,70.99,0.00,6.00,2700,1,0
17771957,2,48.8104954,7.8516593,12.68,152.64,71.33,0.00,6.00,2700,1,0
17771997,3,48.8104954,7.8516593,12.58,152.53,71.33,0.00,6.00,2700,1,0
17771999,4,48.8105091,7.8516490,12.37,152.32,72.80,0.00,6.00,2700,1,0
17772037,5,48.8105091,7.8516379,12.17,152.12,70.87,0.00,6.00,2700,1,0
17772038,6,48.8105228,7.8516379,12.07,152.02,71.98,0.00,6.00,2700,1,0
17772077,7,48.8105228,7.8516277,11.88,151.83,71.61,0.00,6.00,2700,1,0
17772079,8,48.8105364,7.8516268,11.70,151.65,71.78,0.00,6.00,2700,1,0
17772117,9,48.8105364,7.8516166,11.62,151.57,71.89,0.00,6.00,2700,1,0
17772119,10,48.8105501,7.8516166,11.46,151.41,70.83,0.00,6.00,2700,1,0
17772157,11,48.8105501,7.8516055,11.32,151.27,71.58,0.00,6.00,2700,1,0
17772157,12,48.8105637,7.8516055,11.25,151.21,70.68,0.00,6.00,2700,1,0
17772197,13,48.8105637,7.8516055,11.14,151.09,71.11,0.00,6.00,2700,1,0
17772236,14,48.8105774,7.8516055,11.03,150.99,68.03,0.00,6.00,2700,1,0
17772236,15,48.8105774,7.8516055,10.98,150.94,69.70,0.00,6.00,2700,1,0
17772276,16,48.8105911,7.8515944,10.91,150.86,69.71,0.00,6.00,2700,1,0
17772277,17,48.8106047,7.8515935,10.84,150.79,68.23,0.00,6.00,2700,1,0
17772277,18,48.8106047,7.8515935,10.80,150.76,68.76,0.00,6.00,2700,1,0
17772317,19,48.8106184,7.8516046,10.75,150.70,67.68,0.00,6.00,2700,1,0
17772357,20,48.8106184,7.8516046,10.70,150.65,67.59,0.00,6.00,2700,1,0
17772357,21,48.8106320,7.8516038,10.67,150.62,68.86,0.00,6.00,2700,1,0
17772397,22,48.8106320,7.8516038,10.62,150.57,66.99,0.00,6.00,2700,1,0
17772398,23,48.8106457,7.8516038,10.56,150.51,68.44,0.00,6.00,2700,1,0
17772437,24,48.8106457,7.8516038,10.53,150.49,66.43,0.00,6.00,2700,1,0
17772438,25,48.8106594,7.8516029,10.47,150.43,67.20,0.00,6.00,2700,1,0
17772478,26,48.8106594,7.8516140,10.41,150.36,65.61,0.00,6.00,2700,1,0
17772478,27,48.8106730,7.8516132,10.38,150.33,64.73,0.00,6.00,2700,1,0
17778095,28,48.8106730,7.8518753,10.71,150.66,66.41,0.00,6.00,2700,1,0
17778096,29,48.8106730,7.8518753,10.66,150.61,64.47,0.00,6.00,2700,1,0
17778134,30,48.8106594,7.8518650,10.61,150.56,65.79,0.00,6.00,2700,1,0
17778134,31,48.8106594,7.8518650,10.55,150.51,65.11,0.00,6.00,2700,1,0
17778134,32,48.8106594,7.8518548,10.50,150.46,65.21,0.00,6.00,2700,1,0
17778175,33,48.8106457,7.8518445,10.41,150.36,65.60,0.00,6.00,2700,1,0
17778176,34,48.8106457,7.8518445,10.36,150.31,67.59,0.00,6.00,2700,1,0
