t_ms,shot,lat_deg,lon_deg,agl_m,alt_m,level_db,trend_db,contrast_db,freq_hz,alarm,clip
22280715,1,48.8106594,7.8519854,33.75,173.70,62.97,0.00,6.00,2700,1,0
22280753,2,48.8106594,7.8519854,33.63,173.58,63.37,0.00,6.00,2700,1,0
22280755,3,48.8106457,7.8519752,33.46,173.41,63.43,0.00,6.00,2700,1,0
22280793,4,48.8106457,7.8519752,33.41,173.36,65.28,0.00,6.00,2700,1,0
22280794,5,48.8106457,7.8519752,33.37,173.32,63.40,0.00,6.00,2700,1,0
22280795,6,48.8106457,7.8519649,33.34,173.30,64.96,0.00,6.00,2700,1,0
22280834,7,48.8106320,7.8519547,33.33,173.28,64.69,0.00,6.00,2700,1,0
22280835,8,48.8106320,7.8519547,33.33,173.29,65.28,0.00,6.00,2700,1,0
22280836,9,48.8106320,7.8519547,33.34,173.30,65.49,0.00,6.00,2700,1,0
22280874,10,48.8106320,7.8519444,33.36,173.31,64.90,0.00,6.00,2700,1,0
22280876,11,48.8106184,7.8519444,33.40,173.35,65.74,0.00,6.00,2700,1,0
22280914,12,48.8106184,7.8519393,33.42,173.38,65.32,0.00,6.00,2700,1,0
22280915,13,48.8106184,7.8519393,33.45,173.40,65.72,0.00,6.00,2700,1,0
22280915,14,48.8106184,7.8519393,33.48,173.43,63.11,0.00,6.00,2700,1,0
22280955,15,48.8106047,7.8519291,33.53,173.49,64.76,0.00,6.00,2700,1,0
22280956,16,48.8106047,7.8519291,33.56,173.52,65.36,0.00,6.00,2700,1,0
22280993,17,48.8106047,7.8519188,33.60,173.55,64.38,0.00,6.00,2700,1,0
22280994,18,48.8106047,7.8519188,33.63,173.58,64.89,0.00,6.00,2700,1,0
22280994,19,48.8105911,7.8519086,33.70,173.66,64.14,0.00,6.00,2700,1,0
22281034,20,48.8105911,7.8519086,33.74,173.69,64.03,0.00,6.00,2700,1,0
22281034,21,48.8105911,7.8519086,33.78,173.73,65.77,0.00,6.00,2700,1,0
22281034,22,48.8105911,7.8518983,33.82,173.77,63.89,0.00,6.00,2700,1,0
22281074,23,48.8105911,7.8518983,33.89,173.85,65.78,0.00,6.00,2700,1,0
22281074,24,48.8105911,7.8518983,33.93,173.88,63.75,0.00,6.00,2700,1,0
22281114,25,48.8105774,7.8518881,33.97,173.92,64.92,0.00,6.00,2700,1,0
22281114,26,48.8105774,7.8518881,34.01,173.96,63.24,0.00,6.00,2700,1,0
22281154,27,48.8105774,7.8518770,34.08,174.03,62.78,0.00,6.00,2700,1,0
22281154,28,48.8105774,7.8518770,34.11,174.06,65.14,0.00,6.00,2700,1,0
22281154,29,48.8105774,7.8518770,34.14,174.10,63.19,0.00,6.00,2700,1,0
22281194,30,48.8105774,7.8518770,34.18,174.13,64.03,0.00,6.00,2700,1,0
22281195,31,48.8105637,7.8518676,34.23,174.19,63.26,0.00,6.00,2700,1,0
22281195,32,48.8105637,7.8518676,34.26,174.21,63.25,0.00,6.00,2700,1,0
22281234,33,48.8105637,7.8518574,34.28,174.24,63.12,0.00,6.00,2700,1,0
22281234,34,48.8105637,7.8518574,34.30,174.25,65.10,0.00,6.00,2700,1,0
22281274,35,48.8105637,7.8518574,34.29,174.24,64.49,0.00,6.00,2700,1,0
22281274,36,48.8105501,7.8518471,34.25,174.21,63.63,0.00,6.00,2700,1,0
22281275,37,48.8105501,7.8518471,34.20,174.15,64.69,0.00,6.00,2700,1,0
22281314,38,48.8105501,7.8518471,34.12,174.07,64.35,0.00,6.00,2700,1,0
22281315,39,48.8105501,7.8518360,33.88,173.83,65.24,0.00,6.00,2700,1,0
22281354,40,48.8105501,7.8518360,33.72,173.67,64.82,0.00,6.00,2700,1,0
22281354,41,48.8105501,7.8518360,33.54,173.49,64.78,0.00,6.00,2700,1,0
22281355,42,48.8105501,7.8518360,33.33,173.28,64.52,0.00,6.00,2700,1,0
22281394,43,48.8105364,7.8518266,32.86,172.81,64.32,0.00,6.00,2700,1,0
22281395,44,48.8105364,7.8518266,32.60,172.55,64.96,0.00,6.00,2700,1,0
22281395,45,48.8105364,7.8518266,32.33,172.28,62.89,0.00,6.00,2700,1,0
22281434,46,48.8105364,7.8518155,32.05,172.00,64.25,0.00,6.00,2700,1,0
22281435,47,48.8105364,7.8518155,31.46,171.42,63.58,0.00,6.00,2700,1,0
22281475,48,48.8105364,7.8518155,31.17,171.12,65.46,0.00,6.00,2700,1,0
22281475,49,48.8105364,7.8518044,30.88,170.83,66.08,0.00,6.00,2700,1,0
22281475,50,48.8105228,7.8518053,30.58,170.53,63.46,0.00,6.00,2700,1,0
22281515,51,48.8105228,7.8517950,29.99,169.94,63.42,0.00,6.00,2700,1,0
