t_ms,shot,lat_deg,lon_deg,agl_m,alt_m,level_db,trend_db,contrast_db,freq_hz,alarm,clip
17669520,1,48.8104954,7.8516704,12.79,152.74,70.99,0.00,6.00,2700,1,0
17669522,2,48.8104954,7.8516593,12.68,152.64,71.33,0.00,6.00,2700,1,0
17669523,3,48.8104954,7.8516593,12.58,152.53,71.33,0.00,6.00,2700,1,0
17669562,4,48.8105091,7.8516490,12.37,152.32,72.80,0.00,6.00,2700,1,0
17669600,5,48.8105091,7.8516379,12.17,152.12,70.87,0.00,6.00,2700,1,0
17669601,6,48.8105228,7.8516379,12.07,152.02,71.98,0.00,6.00,2700,1,0
17669640,7,48.8105228,7.8516277,11.88,151.83,71.61,0.00,6.00,2700,1,0
17669642,8,48.8105364,7.8516268,11.70,151.65,71.78,0.00,6.00,2700,1,0
17669680,9,48.8105364,7.8516166,11.62,151.57,71.89,0.00,6.00,2700,1,0
17669682,10,48.8105501,7.8516166,11.46,151.41,70.83,0.00,6.00,2700,1,0
17669721,11,48.8105501,7.8516055,11.32,151.27,71.58,0.00,6.00,2700,1,0
17669722,12,48.8105637,7.8516055,11.25,151.21,70.68,0.00,6.00,2700,1,0
17669761,13,48.8105637,7.8516055,11.14,151.09,71.11,0.00,6.00,2700,1,0
17669764,14,48.8105774,7.8516055,11.03,150.99,68.03,0.00,6.00,2700,1,0
17669801,15,48.8105774,7.8516055,10.98,150.94,69.70,0.00,6.00,2700,1,0
17669803,16,48.8105911,7.8515944,10.91,150.86,69.71,0.00,6.00,2700,1,0
17669842,17,48.8106047,7.8515935,10.84,150.79,68.23,0.00,6.00,2700,1,0
17669843,18,48.8106047,7.8515935,10.80,150.76,68.76,0.00,6.00,2700,1,0
17669882,19,48.8106184,7.8516046,10.75,150.70,67.68,0.00,6.00,2700,1,0
17669884,20,48.8106184,7.8516046,10.70,150.65,67.59,0.00,6.00,2700,1,0
17669922,21,48.8106320,7.8516038,10.67,150.62,68.86,0.00,6.00,2700,1,0
